position,now_cost,points_last_3gw,points_last_5gw,minutes_last_3gw,minutes_percentage_last_3,goals_last_3gw,assists_last_3gw,xg_last_3gw,xa_last_3gw,xgi_last_3gw,clean_sheets_last_3gw,bonus_last_3gw,ict_last_3gw,goals_per_90,points_std_last_5gw,points_trend,next_was_home,next_fixture_difficulty,next_opp_def_strength,strength_attack_home_player_team,strength_attack_away_player_team,transfers_balance,target_points,player_id,player_name,gameweek
DEF,63,4.333333333333333,5.0,90.0,100.0,0.0,0.0,0.07333333333333333,0.01,0.08333333333333333,1.0,0.3333333333333333,2.6333333333333333,0.0,3.0,1.5386914805943222e-15,True,1100.0,1100.0,1350,1350,186233,9.0,5,Gabriel,6
DEF,60,9.0,9.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.2,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,247702,1.0,6,Saliba,2
DEF,60,7.5,7.5,90.0,100.0,0.0,0.0,0.0,0.005,0.005,2.0,0.5,2.75,0.0,2.1213203435596424,0.0,True,1180.0,1180.0,1350,1350,-10170,0.0,6,Saliba,3
DEF,60,5.333333333333333,5.333333333333333,61.333333333333336,68.14814814814815,0.0,0.0,0.0,0.0033333333333333335,0.0033333333333333335,2.0,0.3333333333333333,1.9333333333333333,0.0,4.041451884327381,-3.999999999999998,True,1300.0,1300.0,1350,1350,-439095,2.0,6,Saliba,4
DEF,60,2.3333333333333335,4.0,31.333333333333332,34.81481481481482,0.0,0.0,0.0,0.0033333333333333335,0.0033333333333333335,1.0,0.0,0.8666666666666666,0.0,4.242640687119286,-3.000000000000001,False,1320.0,1240.0,1350,1350,-198404,1.0,6,Saliba,5
DEF,60,1.0,3.6,31.333333333333332,34.81481481481482,0.0,0.0,0.043333333333333335,0.006666666666666667,0.049999999999999996,0.0,0.0,1.0666666666666667,0.0,3.7815340802378077,0.4999999999999995,True,1100.0,1100.0,1350,1350,-13772,6.0,6,Saliba,6
DEF,57,13.0,13.0,71.0,78.88888888888889,1.0,0.0,0.91,0.01,0.92,1.0,2.0,7.3,1.267605633802817,0.0,0.0,False,1380.0,1380.0,1350,1350,249257,2.0,7,Calafiori,2
DEF,57,13.0,13.0,67.0,74.44444444444444,0.5,1.0,0.65,0.01,0.66,2.0,1.5,7.699999999999999,0.6716417910447761,0.0,0.0,True,1180.0,1180.0,1350,1350,361084,5.0,7,Calafiori,3
DEF,57,9.333333333333334,9.333333333333334,74.66666666666667,82.96296296296298,0.3333333333333333,0.6666666666666666,0.47666666666666674,0.01,0.48666666666666664,2.0,1.0,5.8999999999999995,0.40178571428571425,6.3508529610858835,-5.499999999999997,True,1300.0,1300.0,1350,1350,459197,2.0,7,Calafiori,4
DEF,57,6.666666666666667,8.25,73.33333333333333,81.48148148148148,0.0,0.6666666666666666,0.17333333333333334,0.01,0.18333333333333335,2.0,0.3333333333333333,4.133333333333333,0.0,5.619905100029122,-4.0000000000000036,False,1320.0,1240.0,1350,1350,75801,1.0,7,Calafiori,5
DEF,57,3.0,7.0,82.33333333333333,91.48148148148148,0.0,0.0,0.09000000000000001,0.023333333333333334,0.11333333333333334,1.0,0.0,2.4000000000000004,0.0,5.612486080160912,4.064777912668184e-16,True,1100.0,1100.0,1350,1350,84574,6.0,7,Calafiori,6
DEF,59,0.0,0.0,19.0,21.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,-23011,2.0,8,J.Timber,2
