position,now_cost,points_last_3gw,points_last_5gw,points_std_last_5gw,points_trend,minutes_last_3gw,minutes_last_5gw,minutes_percentage_last_3,minutes_percentage_last_5,goals_last_3gw,goals_last_5gw,assists_last_3gw,assists_last_5gw,goals_per_90,assists_per_90,xg_last_3gw,xg_last_5gw,xa_last_3gw,xa_last_5gw,xgi_last_3gw,xg_per_90,goals_vs_xg_last_3,assists_vs_xa_last_3,creativity_last_3gw,creativity_last_5gw,creativity_per_90,influence_last_3gw,influence_last_5gw,threat_last_3gw,threat_last_5gw,threat_per_90,ict_last_3gw,ict_last_5gw,ict_per_90,bonus_last_3gw,bonus_last_5gw,bps_last_3gw,bps_last_5gw,clean_sheets_last_3gw,clean_sheets_last_5gw,was_home,fixture_difficulty,strength_attack_home_player_team,strength_attack_away_player_team,strength_defence_home_opponent,strength_defence_away_opponent,transfers_balance,goals_conceded_last_3gw,goals_conceded_last_5gw,saves_last_3gw,saves_last_5gw,target_points,player_id,player_name,gameweek
GK,57,10.0,10.0,0.0,0.0,90.0,90.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2,49.2,0.0,0.0,0.0,4.9,4.9,4.9,3.0,3.0,38.0,38.0,1.0,1.0,True,1050,1350,1350,1050,1100,218659,0.0,0.0,7.0,7.0,6,1,Raya,2
GK,57,8.0,8.0,2.8284271247461903,0.0,90.0,90.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,31.3,0.0,0.0,0.0,3.1,3.1,3.1,1.5,1.5,33.0,33.0,2.0,2.0,False,1380,1350,1350,1380,1380,-12311,0.0,0.0,4.0,4.0,2,1,Raya,3
GK,57,6.0,6.0,4.0,-3.999999999999999,90.0,90.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.0,0.0,-0.006666666666666667,3.3333333333333335,3.3333333333333335,3.333333333333334,27.53333333333333,27.53333333333333,0.0,0.0,0.0,3.0666666666666664,3.0666666666666664,3.0666666666666664,1.0,1.0,26.0,26.0,2.0,2.0,True,1180,1350,1350,1180,1180,171289,0.3333333333333333,0.3333333333333333,3.3333333333333335,3.3333333333333335,6,1,Raya,4
GK,57,4.666666666666667,6.0,3.265986323710904,-6.101050743774365e-16,90.0,90.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.005,0.006666666666666667,0.0,0.0,-0.006666666666666667,3.3333333333333335,2.5,3.333333333333334,15.4,23.85,0.0,0.0,0.0,1.8666666666666665,2.625,1.8666666666666667,0.0,0.75,21.333333333333332,25.5,2.0,3.0,True,1300,1350,1350,1300,1380,-9786,0.3333333333333333,0.25,1.3333333333333333,2.75,2,1,Raya,5
GK,57,3.3333333333333335,5.2,3.3466401061363023,8.15422203962584e-16,90.0,90.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.006,0.01,0.0,0.0,-0.01,3.3333333333333335,2.0,3.333333333333334,18.066666666666666,23.36,0.0,0.0,0.0,2.1333333333333333,2.5200000000000005,2.1333333333333333,0.0,0.6,16.333333333333332,23.0,1.0,3.0,False,1320,1350,1350,1240,1320,227251,0.6666666666666666,0.4,1.6666666666666667,2.6,2,1,Raya,6
GK,57,3.3333333333333335,3.6,2.1908902300206643,-2.000000000000001,90.0,90.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.008,0.006666666666666667,0.0,0.0,-0.006666666666666667,0.0,2.0,0.0,16.666666666666668,16.68,0.0,0.0,0.0,1.6666666666666667,1.86,1.666666666666667,0.0,0.0,16.0,17.6,1.0,2.0,True,1100,1350,1350,1100,1100,212315,0.6666666666666666,0.6,1.6666666666666667,1.6,6,1,Raya,7
GK,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1050,1350,1350,1050,1100,-9834,0.0,0.0,0.0,0.0,0,2,Arrizabalaga,2
GK,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1380,1350,1350,1380,1380,-11575,0.0,0.0,0.0,0.0,0,2,Arrizabalaga,3
GK,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1180,1350,1350,1180,1180,-6913,0.0,0.0,0.0,0.0,0,2,Arrizabalaga,4
GK,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1300,1350,1350,1300,1380,-5570,0.0,0.0,0.0,0.0,0,2,Arrizabalaga,5
GK,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1320,1350,1350,1240,1320,-4229,0.0,0.0,0.0,0.0,0,2,Arrizabalaga,6
GK,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1100,1350,1350,1100,1100,-3442,0.0,0.0,0.0,0.0,0,2,Arrizabalaga,7
GK,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1050,1350,1350,1050,1100,-1321,0.0,0.0,0.0,0.0,0,3,Hein,2
GK,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1380,1350,1350,1380,1380,-8078,0.0,0.0,0.0,0.0,0,3,Hein,3
GK,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1180,1350,1350,1180,1180,-7317,0.0,0.0,0.0,0.0,0,3,Hein,4
