player_id,player_name,position,element_type,gameweek,fixture,team_name,team_short,opponent_name,opponent_short,was_home,points,minutes,goals_scored,assists,clean_sheets,bonus,goals_conceded,saves,yellow_cards,red_cards,own_goals,penalties_saved,penalties_missed,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,bps,tackles,clearances_blocks_interceptions,recoveries,goals_vs_xg,assists_vs_xa,ict_per_90,points_last_3gw,points_last_5gw,minutes_last_3gw,goals_last_3gw,assists_last_3gw,xg_last_3gw,xa_last_3gw,xgi_last_3gw,clean_sheets_last_3gw,bonus_last_3gw,team_form_last_3gw,fixture_difficulty,strength_overall_home_player_team,strength_overall_away_player_team,strength_attack_home_player_team,strength_attack_away_player_team,strength_defence_home_opponent,strength_defence_away_opponent,now_cost,selected,transfers_in,transfers_out,transfers_balance
402,Aït-Nouri,DEF,2,2,18,Man City,MCI,Spurs,TOT,True,1,22,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.08,0.0,0.4,0.0,0.0,2,0,0,2,0.0,0.0,0.0,5.0,5.0,56.0,0.0,0.0,0.02,0.01,0.03,1.0,0.5,53.0,1160,1275,1315,1250,1250,1160,1250,58,2527933,366735,104536,262199
402,Aït-Nouri,DEF,2,3,22,Man City,MCI,Brighton,BHA,False,0,90,0,0,0,0,2,0,1,0,0,0,0,0.0,0.46,0.46,2.3,12.6,12.8,4.0,2.9,-1,3,5,3,0.0,-0.46,2.9,3.3333333333333335,3.3333333333333335,67.33333333333333,0.0,0.0,0.013333333333333334,0.16,0.17333333333333334,1.0,0.3333333333333333,46.666666666666664,1210,1275,1315,1250,1250,1210,1210,58,1983304,72406,588281,-515875
402,Aït-Nouri,DEF,2,4,38,Man City,MCI,Man Utd,MUN,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,2.5,37.333333333333336,0.0,0.0,0.0,0.15333333333333335,0.15333333333333335,0.0,0.0,45.666666666666664,1100,1275,1315,1250,1250,1100,1140,58,1570837,40156,520270,-480114
402,Aït-Nouri,DEF,2,5,41,Man City,MCI,Arsenal,ARS,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,30.0,0.0,0.0,0.0,0.15333333333333335,0.15333333333333335,0.0,0.0,55.0,1300,1275,1315,1250,1250,1290,1300,58,1126954,508,464426,-463918
402,Aït-Nouri,DEF,2,6,57,Man City,MCI,Burnley,BUR,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.666666666666664,1050,1275,1315,1250,1250,1050,1050,58,849224,373,287014,-286641
402,Aït-Nouri,DEF,2,7,64,Man City,MCI,Brentford,BRE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1290,1275,1315,1250,1250,1160,1290,58,720387,181,136725,-136544
403,Gvardiol,DEF,2,1,7,Man City,MCI,Wolves,WOL,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1150,1275,1315,1250,1250,1120,1150,59,1096282,0,0,0
403,Gvardiol,DEF,2,2,18,Man City,MCI,Spurs,TOT,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1160,1275,1315,1250,1250,1160,1250,59,607778,1346,486312,-484966
403,Gvardiol,DEF,2,3,22,Man City,MCI,Brighton,BHA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.666666666666664,1210,1275,1315,1250,1250,1210,1210,59,409078,1167,210352,-209185
403,Gvardiol,DEF,2,4,38,Man City,MCI,Man Utd,MUN,True,6,90,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.51,9.2,1.2,0.0,1.0,22,0,3,0,0.0,0.0,1.0,2.0,1.5,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.666666666666664,1100,1275,1315,1250,1250,1100,1140,59,349258,9113,80448,-71335
403,Gvardiol,DEF,2,5,41,Man City,MCI,Arsenal,ARS,False,4,90,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.96,30.0,0.3,0.0,3.0,16,2,12,6,0.0,0.0,3.0,3.3333333333333335,2.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,1300,1275,1315,1250,1250,1290,1300,59,395692,42116,13365,28751
403,Gvardiol,DEF,2,6,57,Man City,MCI,Burnley,BUR,True,2,69,0,0,0,0,1,0,0,0,0,0,0,0.04,0.19,0.23,0.41,25.8,24.2,4.0,5.4,14,0,6,3,-0.04,-0.19,7.043478260869565,4.0,2.4,83.0,0.0,0.0,0.013333333333333334,0.06333333333333334,0.07666666666666667,1.0,0.0,62.666666666666664,1050,1275,1315,1250,1250,1050,1050,59,612620,211067,32494,178573
403,Gvardiol,DEF,2,7,64,Man City,MCI,Brentford,BRE,False,12,90,0,1,1,3,0,0,0,0,0,0,0,0.06,0.04,0.1,0.83,41.4,14.3,17.0,7.3,41,1,6,1,-0.06,0.96,7.3,6.0,4.8,83.0,0.0,0.3333333333333333,0.03333333333333333,0.07666666666666667,0.11,1.0,1.0,56.0,1290,1275,1315,1250,1250,1160,1290,59,622286,56102,35745,20357
404,Akanji,DEF,2,1,7,Man City,MCI,Wolves,WOL,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1150,1275,1315,1250,1250,1120,1150,54,79945,0,0,0
404,Akanji,DEF,2,2,18,Man City,MCI,Spurs,TOT,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1160,1275,1315,1250,1250,1160,1250,54,84641,4559,19273,-14714
404,Akanji,DEF,2,3,22,Man City,MCI,Brighton,BHA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.666666666666664,1210,1275,1315,1250,1250,1210,1210,54,78873,3886,16906,-13020
404,Akanji,DEF,2,4,38,Man City,MCI,Man Utd,MUN,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.666666666666664,1100,1275,1315,1250,1250,1100,1140,54,57819,836,23529,-22693
404,Akanji,DEF,2,5,41,Man City,MCI,Arsenal,ARS,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1300,1275,1315,1250,1250,1290,1300,54,47583,0,10968,-10968
